,Meyve,ölçü
0,elma,1 kucuk boy
1,kayisi,3 adet
2,muz,1/2 büyük boy
3,Taze incir,1 adet
4,Dut,8 adet
5,Kiraz,12 adet
6,Kiwi,1 adet
7,visne,14 adet
8,greyfurt,1/2 adet
9,ananas,1 ince dilim
10,Kestane,5 adet
11,portakal,1 orta boy
12,mandalina,1 büyük boy
13,Uzum,15 iri tane
14,Malta erigi,6 adet
15,erik,5 adet
16,çilek,12 adet
17,seftali,1 orta boy
18,Armut,1 orta boy
19,ayva,1/4 orta boy
20,Nar,1/2 kucuk boy
21,Kavun,1/8 orta boy
22,karpuz,1/8 orta boy
23,Kuru incir,1 adet
24,Kuru kayısı,3 adet
25,Kuru Erik,4 adet
26,Kuru uzum,1 yemek kasimi dolusu
27,hurma,5 adet
28,Cennet hurmasi,1 adet
29,Portakal suyu,1 çay bardagi
30,Greyfurt suyu,1 çay bardagi
31,Elma suyu,1/3 su bardagi
32,Visne suyu,1/3 su bardagi
